id;level;message
NTg1YmY2MjBiMzhhZDIuMzg3NDU1NjRfMTQ4MjQxNDU5Mi43MzU0;warning;"Random message"
NTg1YmY2MjBiZWViOTMuMjE0MjMwNDBfMTQ4MjQxNDU5Mi43ODI=;critical;"Uncaught Exception!"
